page_requests page_title
0 అంకుశాపూర్_(ఆసిఫాబాద్‌_మండలం)
0 శ్రీరాంపురంతండా
4 కొండ్రప్రోలు
3 గొల్లపాలెం_(చిట్టమూరు)
18 ఓబులాపురం_(యాడికి)
9 కమరుపల్లె
2 కోనేటినాయనిపలెం
5 పైన
10 వనభరంగిపాడు
9 నాయుడుపాలెం_(గుడ్లూరు)
9 ఉడిత్యాల్
3 ఎర్రబల్లె
2 దేవనూర్
3 రామచంద్రపాలెం_(గారపాడు)
2 బొడ్లగొంది
6 మంగలవారిపల్లె
4 పంబలి
15 తంగుల
1 లక్ష్మాపుర్_(బచ్చన్నపేట)
11 కాటేపల్లి
3 పెరికీడు
18 సిరగంపుత్తు_(ముంచంగిపుట్టు)
2 ఉర్మడ్ల
18 బండసెట్టిపల్లె_(గ్రామీణ)
13 తుళ్ళూరు
3 చవిటిపాలెం
0 గుంటూరు_జిల్లా_గ్రామాల_జాబితా
0 పెదపట్నం_(మచిలీపట్నం)
3 తీపర్రు
3 పెద్ద_తక్లి
1 బొందలకుంట_(మఖ్తల్‌)
2 రాయవరం_(యర్రగొండపాలెం)
0 కరిగానిపల్లె
1 కొర్నిపాడు
8 గొల్లపల్లె_(అనంతపురం)
7 చెర్లోపల్లి_(పుట్లూరు)
2 పంచగావ్
3 తురుమెళ్ళ
12 చీడిగరువు
1 పరందోలి
7 పెదగొల్లపల్లి
6 అన్నారం_(మణుగూరు)
8 గణపవారిగూడెం
3 తున్కిఖలాస
11 కిమిడుపుట్టు
1 మొంబాజీపేట్
12 కేశమనేనిపల్లె
3 మండువవారిపాలెం
9 కచవరం
11 ఆవులెన్న
3 సుంకిని
3 నానక్‌నగర్
10 కత్తివరం
1 పల్లిపహాడ్_(తుర్కపల్లి)
2 పిట్టంపల్లి_(చిట్యాల)
8 మలకరిపుట్టు
0 మర్రిపూడి(బాపట్ల)
9 మూలపేట
2 కొణిదేల
1 సంగాపూర్_(రైకోడ్‌)
10 పెల్లకూరు
14 అదుసుపాలెం
1 బండ్లెపాలెం
6 కొండచిలకం
2 మాణిక్_భండార్
3 నవగావ్
16 జగమర్ల
17 పాతరేగ
2 చిన్నెల్లుగారి_పల్లె
0 కేశవాపురం(తుంగతుర్తి)
7 గొండుపాలెం_(అనకాపల్లి)
3 కిష్టంపేట్
2 ధూపాపూర్
1 బంటుమిల్లి_(కాట్రేనికోన)
1 చిరుమర్తి
1 గుండెంగ
2 చిన్నపోతులపాడు
3 ధోబ_(బుజుర్గ్)
5 కొండంగి
5 లింగంపల్లె_(సిద్ధవటం)
0 మున్నవారిపాలెం
1 లాచన్
2 ఉప్పలపాడు_(ముదిగుబ్బ_మండలం)
14 సుబ్రమణ్యపురం
9 మంగలకుంట
29 రాజంపేట
1 చిన్నముడియం
2 అన్నోజీగూడ_(కందుకూర్‌)
7 గొల్లలములువు
6 దిలావర్‌పూర్
1 చొల్లేడు
4 బుద్దారం_(పెద్దేముల్‌)
3 తూనుగుంట
1 యాల్లూరు
2 పోతురెడ్డిపల్లి_(నూజివీడు)
5 బుచ్చిరాజుపేట_(నక్కపల్లి)
6 దామరాజపల్లి
4 నచ్చహళ్ళి
5 నిడుముసలి
9 బురడా_రామచంద్రాపురం
2 తిమ్మక్కపల్లె_(జి)
1 మోదేడ్
1 గాలివారిగూడెం
3 రంగినిగుడ_(డుంబ్రిగుడ)
5 పాతగూదూర్
0 లక్ష్మీపూర్_(కరీంనగర్)
6 మొందెంఖల్లు
1 యాకర్‌పల్లి
8 తూరు_అక్కినాయుడు_వలస
22 తాటిగుంటపాళెం
1 జక్కసముద్రం
3 మాణిక్యాపూర్
1 మతుకుమల్లి
1 ద్వారకాపూర్
3 కమ్మునూర్
6 టంగుటూరు_(ఆలేరు)
2 బాణాల
1 సేరిగూడ
7 ప్యాలమద్ది
4 ముంజవరం
11 తాడిగిరి
1 ముద్దాపూర్_(కొండపాక)
2 కోడిగానిపల్లె
5 ఆకవీడు
16 జల్లెపల్లి
3 మంధర్న
2 అక్కేపల్లి
4 సంతాపూర్
12 రఘునాథపల్లి
3 తిమ్మాపురం_(నూజెండ్ల)
0 తాడ్వాయి_(మల్హర్రావు_మండలం)
1 కదిరిపూలకుంట
2 గున్నపల్లి_అగ్రహారం
1 పోతులబొగుడ_(ఆళ్ళదుర్గ్)
18 పైపాల్యం
1 ప్రకాశరావుపాలెం
3 గొల్లపల్లె_(దువ్వూరు)
2 అనంతపురం_(లక్కిరెడ్డిపల్లె)
8 రంగుపురం_(గజపతినగరం)
3 ముక్కామల్ల
12 గుచ్చిమి_(దత్తిరాజేరు)
0 బాసరకోడు
6 జంగాలపల్లి_(మాకవరపాలెం)
10 మజ్జిగుద
11 అనిగండ్లపాడు
3 చిల్లకల్లు_(జగ్గయ్యపేట_మండలం)
0 వెంచపల్లి
11 కొండవెలగాడ
9 కొలియాగుడ
0 భీమనపల్లి_(ఉప్పలగుప్తం)
0 కుంతల_(బుజుర్గ్)
7 మల్లిఖార్జునపురం
11 కొండభీమపాలెం
2 రంగాపురం_(కేసముద్రం)
1 నందిపహాడ్
5 పీలారం
2 కొత్తూర్_(ఖానాపూర్‌)
15 అదరు_(అరకులోయ)
1 గరువు
7 బతుగుదబ
1 చిన్నవంగర
9 రఘుమండ
10 తొర్రగుడిపాడు
0 కొర్రపాడు_(ముద్దనూరు)
2 నల్లపల్లి
0 అక్కంపేట_(పెద్దాపూర్_(ఆత్మకూరు)
0 పూడివలస_(ఎచ్చెర్ల)
17 రామచంద్రాపురం_(చిత్తూరు)
2 మెక్క
7 అగ్రహారగోపవరం
2 సింగరాయిపేట్
3 మాచాపూర్_(భోధన్‌)
4 వెంకటాపూర్_(పట్టిమలిగర)
2 వెంకటాపురం_(మోపిదేవి)
7 మారెడుపల్లె
11 ఆటపాక
1 తాండ్ర_(మండా)
5 వేపకుంట్ల
2 ఇడమడక
4 పాలెం_(జెడ్)
3 కొరటికల్_(ఉప్పునూతల)
6 పల్మకోల్
4 టేకుమట్ల_(సూర్యాపేట)
5 నర్సన్నపల్లె
2 గవిగట్టు
6 మైదిపల్లి
3 సంగెం
4 పెదపల్లి_(ఆలమూరు)
0 పల్లి_(బుజుర్గ్)
11 బుచ్చిరాజుపేట_(మెంటాడ)
2 రాంపూర్_(కోటగిరి)
4 సుద్దవంద
3 తరునవోయ
5 లక్ష్మీదేవిపేట_(భద్రాచలం)
3 చెల్మెడ
5 బీరం_(హుకుంపేట)
8 లక్ష్మినగరం
7 తెరువుపల్లి
14 ఇసకలపేట
11 బొద్దజువ్వి
9 దిప్పలగొంది
0 అమ్మంకేరి
3 మాటూరు_(దౌలతాబాద్)
4 కాల్వ_(దిలావర్_పూర్)
1 నాగమల్లె_దిన్నె
5 శేషమాంబాపురం
7 ఏదుల_ఖండ్రిగ
0 మునసబుపేట(శ్రీకాకుళం_మండలం)
0 ఘన్‌పూర్_(పెద్దఅడిశర్లపల్లి_మండలం)
15 బొర్రకాలువలస
10 తలతారియా
2 సోన్‌పల్లి
2 చంద్రాకల్
1 గిర్జెపల్లి
5 పల్లారుగూడ
5 కృష్ణరాయపురం_(పెందుర్తి)
1 టీ._కొత్తపల్లి
4 వెలుగొమ్ముల
16 ఉర్లఓబనపల్లె
2 బాలుపల్లె_(చింతకొమ్మదిన్నె)
2 సుంకేశుల_(ఔకు)
1 గాండ్లపర్తి_(రాప్తాడు)
0 అనాజ్‌పూర్_(దౌలతాబాదు)
2 కె.బ్రాహ్మణపల్లె
1 మైకోడ్
9 కోటల్‌పల్లె
4 బ్రాహ్మణపల్లి_(పెద్దపల్లి_మండలం)
3 అబ్బాపురం_(గొల్లపల్లి)
16 కాశీపట్నం
2 ధర్మారెడ్డిపల్లి_(గజ్వేల్)
8 టేకుపల్లి_(వేలేరుపాడు)
2 రామాపురం_(దాచే)
3 మల్లినాయకనహళ్లి
6 నిట్టపుట్టు_(హుకుంపేట)
0 నీలవంచ
6 జన్నారం_(ఏనుకూరు_మండలం)
2 బొల్లంపల్లి_(వెల్దండ)
13 తుంగి_కోట
11 శామీర్‌పేట
1 రత్నాపూర్_(తలమడుగు_మండలం)
1 కన్నాయిపల్లి_(రఘునాథపల్లి)
0 పురుషోత్తపురం
4 కందలవారిపల్లె
2 ఎంబోయి
3 మనేరాంపల్లె
3 గడిగరేవుల
1 సోమవరం_(చాట్రాయి_మండలం)
1 వేపూర్
5 మల్లం_(చిట్టమూరు_మండలం)
12 రేగడదిన్నెపల్లె
1 కిమిలిగెద్ద
16 చవటపాళెం
0 చిన్నచింతకుంట_(నర్సాపూర్)
7 అడ్డూరు
3 బండగానిపల్లె
11 నరువ
1 దిగువ_బ్రహ్మణపల్లె
5 ఇబ్రహీంపట్నం_(కరీంనగర్)
18 నారింజగుండ్లపల్లె
2 సంబటూరు
12 వొండ్రుజోల
7 అడివిగొల్లపల్లె
7 చిలకపాడు_(సంతనూతలపాడు)
4 గురువిందగుంట
14 విజయవాడ_గ్రామీణ
4 దత్తాయిపల్లి_(తుర్కపల్లి)
6 నరసింహరాజపుర_అగ్రహారం
2 మాగెచెరువు
21 గోదావరిఖని
8 సెట్లివారిపల్లె
49 బాణం
7 వావిలేరు
8 పెద్దపినపాలెం
5 లచ్చిగూడెం_(దుమ్ముగూడెం)
0 అచ్చంపేట(అర్ధవీడు)
4 వజ్జెపల్లె_(కలాన్)
1 పెద్ద_టేకూరు
7 ఇబ్రహీంపట్నం_(ఖల్స)
4 గద్రియాల్
11 పిడుగురాయి
8 పెద్దకాకిటపల్లి
4 కోటపాడు_(పొన్నలూరు)
9 కసిదొరవలస
0 తక్కెళ్ళపాడు_(దాచేపల్లి)
5 జద్దేరు
14 మడపాం
0 కొండేపల్లి(మార్కాపురం)
4 జవహర్‌పేట్
5 లొల్ల_(ఆత్రేయపురం)
1 ఆరెపల్లె_(డిచ్‌పల్లి)
5 కప్లాపూర్
7 కొమనపల్లి
16 చీపురువలస
0 మేదుకూరు
10 లెంబగుడ
4 షాయిన్‌పల్లి
4 కొత్తపేట_(కలిగిరి_మండలం)
4 గూదూర్_(పాలకుర్తి)
0 చిన్నదండ్లూరు
6 సిరిమెట్ల
9 ముసలికుంట
4 మోమినాపూర్
7 సఖిన_వీదు
2 కె.నారాయణపురం
1 సంబగల్లు
1 ముబారక్‌పూర్_(దౌలతాబాదు)
1 బాలంపూర్_(బజార్‌హథ్నూర్‌)
6 తూంకుంట
1 కంకతావ
8 వెంకటకృష్ణపురం
7 చిలువూరు
2 జగరాంపల్లి
1 గోల్‌పల్లి
6 ఔరంగనగర్
12 నగ్రహారం
1 దివిలి
9 హరిదాసుపురం
13 పిట్టువారిపాలెం
1 నారాయణరెడ్డిపల్లె
0 జక్కేపల్లి_(వేమన్‌పల్లి)
4 కోటల
3 వీ._రామన్నపాలెం
3 తిప్పలూరు
4 కే.డీ.ఖండ్రిగ
13 హథ్నూర
0 ఓబులరెడ్డి_పేట
2 సర్దాపూర్_(నేరడిగొండ)
3 చిచ్‌పల్లి
3 ఊట్‌పల్లి_(దోమ)
2 జువిగూడ
11 ఒణిజ
2 తుర్కపల్లి_(కంగల్)
2 తుంబడిహట్టి
2 కట్లకుంట
2 పారుపల్లి_(క్రోసూరు_మండలం)
3 ముక్నూర్_(మహాదేవపూర్)
10 నాగమ్మ_అగ్రహారం
1 గోవిందంపల్లె
0 చిన్న_చింతరేవుల
3 బొర్గావ్_(పి)
0 మాలెపూర్
18 మల్లారెడ్డి_కండ్రిగ
1 వేములకుర్తి
10 గుడివాడ_(వేపాడ_మండలం)
7 వామనగుంటపాలెం
2 తొర్రగుడిపాడు_(నందిగామ_మండలం)
13 తదివీధి
2 రంగాయపల్లె
13 తాళ్ళపూడి
14 దిగువకణకం_పాలెం
16 భూపాలరాజపురం
10 పాడి_(డుంబ్రిగుడ)
5 జొగాపూర్
4 కత్తుమిల్లి
10 బలియాగుడ_(చీడివలస_వద్ద)
0 ఇమ్మిడివరప్పాడు
8 తునివాడ
0 శివరామపురం_(చిత్తూరు_జిల్లా)
5 గుండాలసముద్రం
6 యర్రగుంటకోట
2 అమినబద_(రాజవొమ్మంగి)
0 నర్సాపూర్_(పి.ఎల్)
2 లక్ష్మీకాంతపూర్
1 జీడిపల్లె
6 పోయిమల
6 కనమణంబేడు
3 తడకమళ్ళ
6 అక్కన్న_అగ్రహారం
10 చిన_కూర్మం
6 అచ్చమ్మకుంటతండా
0 సలాబత్‌పూర్_(మద్నూరు)
1 ఆర్.లోచర్ల
7 స్కౌట్_పేట
2 దూపల్లె
26 రాచకొండ
2 నర్సింహాపురం_(కొల్లాపూర్)
3 వేలంక
0 జక్కాపూర్_(సిర్పూర్_పట్టణం)
21 సింహాద్రిపురం
3 గొందికోట
0 రుక్మిణీపురం
0 ఏనుగులదిన్నెపాడు
14 లోకొత్తవలస
10 సిందిపుట్టు
2 ఈదరపల్లి
12 రాజుపేట_(కొయ్యూరు)
5 కొడకొండ్ల
15 సరికి
5 వంగర_(భీమదేవరపల్లి)
9 లక్ష్మీపురం_(వాజేడు)
6 తూబాడు
11 అక్కచెరువుపాడు
2 చామవరం
1 రొహీర్
15 వద్దిపుత్తు
8 బెజ్జి_(పాలకొండ)
4 సౌపాడు
6 పేరుపల్లి
0 చిలకపాడు_(ఉండ్రాజవరం)
1 మందిపాల్
3 గూడూర్_(చిన్నచింతకుంట)
1 కోనైపల్లి
4 లింగంపాడు
11 కుటూరుగట్టు
2 కోయరాజమండ్రి
5 బుద్ధారం_(గార్ల)
2 వెంకటాపూర్_(పెబ్బేరు_మండలం)
22 కొంగలవీడు_(గిద్దలూరు)
8 కీనాటంపల్లె
10 నేలకుర్రు
16 చౌడుపల్లి
4 విట్యాల్
7 అనుపల్లె_(చిత్తూరు_మండలం)
0 రామచంద్రాపూర్_(కోహెడ)
9 అల్తూరుపాడు
0 ఆతుకూరు
7 పల్లెపాలెం
5 పాలెంకోట
7 సికలబాయి
0 వల్లభాపూర్_(నిడమనూరు)
3 లక్ష్మిదేవిపూర్
17 అమలగుద
5 బండరామెశ్వర్‌పల్లె
9 రకసిరై
8 బత్తినపల్లి
5 దొండగూడెం
4 గంగారం_(బిజినపల్లి)
5 మహాదేవపట్నం
4 జల్దిపల్లె
1 నల్లగొండ_(కొడిమ్యాల్)
8 పులిగిలపాడు
12 బెనరాయి
11 సిరియకండి
1 ప్రత్తిపాడు_(మందవల్లి)
3 గొనసపూడి
6 బుసపాలెం
1 చిలకమామిడి
2 చక్రాయపాలెం_(అద్దంకి_మండలం)
0 గుమ్నూర్
4 అలంపల్లి
8 లక్కగూడెం
3 పెనికెలపాడు
5 సుంక్లి
1 రాకొండ_(తెల్కపల్లి)
0 గంజివానిపాలెం
7 ఎనికెపాడు
15 అన్నవరం_(కొయ్యూరు)
4 కోకాపేట్
2 శివాపూర్_(జుక్కల్‌)
3 జైదుపల్లి
2 పైడిపర్రు
15 చందర్లపాడు
0 గోపాలపురం(ఏ.కొండూరు_మండలం)
9 రమాయి
6 రావువారిగూడెం
3 చిన్న_నందిగం
8 బోదులబండ
8 జువ్వలపాలెం(కొల్లూరు)
14 నందివాడ
1 నరసపురం_(విస్సన్నపేట)
22 ఆమన‌గల్
15 బహదూర్_వెంకటాపురం
9 మటుమూరు
14 బిచ్కుంద
5 ధర్‌పల్లి
4 వీరరాఘవుని_కోట
1 జెర్రికుంటపల్లి
2 మసాన్‌పల్లి_(కల్హేరు)
1 చంద్రపల్లె
4 గన్నవరం_(మాచర్ల_మండలం)
5 పడమటినాయుడుపల్లె
3 ముంగిమడుగు
2 ఎక్లాస్‌పూర్_(నర్వ)
11 చత్రాయిపుట్టు
3 శివంపల్లి
9 సొరకాయలపేట_(పమిడి)
1 ఆరేపల్లి_(శివారుజలిగావ్)
13 పెదవనిజ
5 కొమ్మినేపల్లి
1 ముస్తఫాపూర్_(భీమదేవరపల్లి_మండలం)
1 జర్లపాలెం
9 గోవిందరెడ్డిపల్లె
10 సీతంవలస
6 లక్ష్మీరాంపల్లె
6 పోతుమర్రు_(వేమూరు)
4 ధర్మసాగర్_(కౌడిపల్లి)
2 పనకబండ
1 వటంవాండ్ల_పల్లి
8 కొత్త_చెరువు
9 ఈదుమూడి
15 ఉసురుపుట్టు
5 బుక్కపట్నం_(గంగాధర_నెల్లూరు)
2 చుంచుపల్లి_(మంగపేట)
2 ఎస్.మల్లాపురం
10 నిక్కలవలస
2 జట్టివారిపల్లె
3 గోవిందపురం_(దుమ్ముగూడెం_మండలం)
3 రాయికల్_(సైదాపూర్)
3 రంగంపేట_(సదాశివనగర్‌)
9 చాకలపల్లె
6 రోలుగుంట_(చింతపల్లి)
1 పూసల్‌పహాడ్_(మానూరు)
6 అమీన్_సాహెబ్_పేట
3 ప్రజ్ఞం
7 సుగ్గుపల్లె
5 వేములూరు
2 రామడుగు_(ధర్‌పల్లి)
8 విరాట్_నగర్
6 అక్కందొర_వలస
1 లెంకలగడ్డ
1 మాలెగావ్_(కుభీర్‌)
6 దావులూరు_(కొల్లిపర)
0 కుదకుద
2 ఖలీల్‌పూర్_(ఎం)
1 గొండగావ్
9 సింగన్నవలస
2 ముతకపల్లి
5 శ్రీరంగాపురం_(చేబ్రోలు)
5 కూటిగల్
7 మద్దినేనిపాలెం
9 కెల్లంపల్లి_(ముండ్లమూరు)
0 పేరాయపాలెం
9 దండుసుర
12 తేరణి
10 చిన్నలొచలి
10 నేరెడుపల్లి_(గూడెం_కొత్తవీధి)
7 కొర్ని
0 పోతయపల్లి
13 కాయం
1 రాయలం_గ్రామీణ
9 పెద్దసున్నపురం
2 కొత్తపేట్_(వెలగటూరు_మండలం)
2 తీలేరు
0 మర్మముల
9 బొరగవలస
11 జంగాలపాడు
4 కొమరపురం
12 చిన్నమరెడ్డి_ఖండ్రిగ
6 ఉచ్చూరు
3 కోనంకి_(పిడుగురాళ్ళ_మండలం)
6 చెనుగోనిపల్లి
0 నీలిపూడి
9 గాదె_పాలెం
9 ముశ్రిగుడ
3 పోతారం_(షామీర్‌పేట్‌)
5 యనమదుర్రు
6 యెనమలచింతల
1 దాసుపాలెం
4 వాడి_(మాచారెడ్డి)
10 పనగల్లు_(గ్రామీణ)
1 కొండదొడ్డి
0 చెదువాడ
10 బెల్లపురాయి
7 గుడివాడ_(తెనాలి)
21 సాంబయ్యపాలెం
1 బండ్లపల్లె_(వీరబల్లె)
2 ఆజంనగర్
6 జగన్నాయకులపాలెం
3 గెద్దాడ
5 దొరిగల్లు
12 లబ్బ
5 మిర్తివలస_(సాలూరు)
7 పోతవరం_(నాగులుప్పలపాడు)
2 వెంకటాపురం_(చల్లపల్లి)
5 చింతరెడ్డిపల్లి
4 మన్సానపల్లి
1 బండార్లగూడెం
0 నాగుల్‌పల్లి_(సదాశివపేట)
6 కొత్తగూడెం_(వరంగల్_జిల్లా)
12 సొల్లపురం
0 తిమ్మాయిపాలెం
13 చెల్దిగానిపల్లె
0 వేల్పులవారిపల్లె
1 పర్సపల్లి
9 పెనకచెర్ల
3 మొగలిపురం
16 శ్రీకాకుళం_మండలం
13 అక్కివలస
4 వింజగిరి
7 కితుములు
2 సానివాడ_(పాలకొల్లు)
11 పెదకోరవంగి
10 బొండుగుడ_(అనంతగిరి)
10 మొరుమూరు_(జి)
1 కంకోల్
1 సానెవారిపల్లె
1 పెడసనగల్లు
3 జగ్గంపేట్
2 ఇంద్రసింగ్_నగర్
4 నాగమల్యాల్
1 మునిపల్లి_(ఉప్పలగుప్తం)
14 లింగాపురం_(సంతకవిటి)
11 బిజ్జపల్లి
0 దుర్గం_(గాంధారి)
2 మూదేపల్లి
10 గొటివాడ_అగ్రహారం
11 గనుగురొలు
10 సంగులొయ
6 పెరూరు
10 తుమ్మిగూడ
15 సింగవరం_(చింతపల్లి)
5 గంగవరం_(మాకవరపాలెం)
6 లంగర్గూడ
1 కొల్లూర్_(బాన్స్‌వాడ)
1 మన్సాన్‌పల్లి_(ఆందోళ్‌)
10 కన్నాపురం_(దుమ్ముగూడెం)
2 నెమలిపురి_(రాజుపాలెం)
3 గౌరిపల్లి
2 ఆరేపల్లి_(ధర్మపురి)
48 దుబ్బాక
2 కలవ_కొండ
8 పెరుగుపల్లి
11 గోడితిప్ప
3 షరీ_దామరగిద్ద
0 చాడ_(ఆత్మకూరు)
1 అద్మాపూర్
2 సాతంరాయి
8 గుంపం
6 సుబ్బంపాడు
6 చెమిద్తి
1 నల్లచెరువు_(గుర్ల)
3 తమ్మరాజుపల్లె
1 సూదన్‌పల్లి_(కురవి)
5 హరిపురం_(మందస)
6 పెదమట్లపూడి
4 కైగల్లు
0 ముల్కలపల్లి_(గుర్రమ్‌పోడ్‌)
7 టీ.సౌదసముద్రం
1 చెందుర్తి_(వై.రామవరం_మండలం)
3 చెన్నంపల్లె_(తుగ్గలి)
7 కోనంగుంట
18 అప్పాపురం_(లావేరు)
6 అనంతసగర్
3 పెంచికలపాడు_(పెబ్బేరు)
1 కేర్ఛిపల్లి
9 నేతేరు
